word	raw_frequency	freq_per_m	zipf	num_letters	orth_density	orth_density_nbrs	OLD20	orth_nbr_zipf_m	orth_nbr_zipf_SD	orth_C	IPA	phon_density	phon_density_nbrs	PLD20	phon_nbr_zipf_m	phon_nbr_zipf_SD	phon_C	pg_density	pg_density_nbrs	PGLD20	pg_nbr_zipf_m	pg_nbr_zipf_SD	pg_C	num_phonemes
մեր	88	48.28267310435641	4.683791306212692	3	15	ձեր, մեկ, մեզ, մեծ, տեր, վեր, սեր, ծեր, դեր, մոր, բեր, մերկ, եր, մերը, կեր	1.25	3.635726733575495	0.6377877976036647	0.3904761904761905	mer	14	der, mek, mez, ter, ver, ser, der, mor, ber, merk, jer, jer, ber, ker	1.3	3.4115516695149117	0.5937897445208618	0.4835164835164835	14	մեկ(mek), մեզ(mez), տեր(ter), վեր(ver), սեր(ser), դեր(der), դեր(der), մոր(mor), բեր(ber), բեր(ber), մերկ(merk), եր(jer), եր(jer), կեր(ker)	1.3	3.4797118487605774	0.5374204213842151	0.4835164835164835	3
ձեր	86	47.18533962471195	4.673807085306091	3	13	մեր, ձեզ, տեր, վեր, սեր, ձերդ, ծեր, դեր, բեր, եր, ձերն, ձեթ, կեր	1.35	3.5493129869655125	0.6562274506273676	0.4871794871794871	dzer	4	der, dzez, dzerd, der	1.8	3.6780485309929514	0.5802842211492704	0.0	4	ձեզ(dzez), ձերդ(dzerd), դեր(der), դեր(der)	1.8	3.6780485309929514	0.5802842211492704	0.0	4
չեմ	85	46.63667288488972	4.668727559776816	3	5	չես, չեն, չեք, դեմ, չե	1.75	3.8287203845996247	0.558999800160962	0.6	tʃʰem	6	tʃʰe, tʃʰes, tʃʰen, tʃʰer, tʃʰei, tʃʰe	1.85	3.669097112721319	0.6669807885860224	0.9333333333333332	4	չես(tʃʰes), չեն(tʃʰen), չե(tʃʰe), չե(tʃʰe)	2.0	3.486225200294092	0.7482216034700663	0.8333333333333334	5
դեռ	85	46.63667288488972	4.668727559776816	3	8	դե, դեմ, դեհ, դեր, դեն, եռ, դեղ, բեռ	1.6	3.3222476928644173	0.5251597677240898	0.5714285714285714	der	17	mer, dzer, de, ter, dem, ver, ser, deh, dir, dur, ber, den, jer, jer, deʀ, ber, ker	1.15	3.5082543944161637	0.6639173744387018	0.3308823529411764	9	դե(de), դեմ(dem), դեհ(deh), դեն(den), եռ(jer), եռ(jer), դեղ(deʀ), բեռ(ber), բեռ(ber)	1.45	3.2379109908802426	0.5323346272024977	0.3888888888888889	3
նրան	82	44.99067266542302	4.65312248644624	4	8	նրանց, նման, դրան, նրանն, նշան, նրսն, սրան, նռան	1.6	3.344400288388999	0.6424257498002462	0.1785714285714285	nəɹan	5	nəman, dəɹan, nəʃan, səɹan, nəran	1.75	3.263958492142103	0.5653281670909666	0.4	5	նման(nəman), դրան(dəɹan), նշան(nəʃan), սրան(səɹan), նռան(nəran)	1.75	3.263958492142103	0.5653281670909666	0.4	5
քո	82	44.99067266542302	4.65312248644624	2	2	հո, քոր	1.9	2.9778692614223545	0.2385606273598313	0.0	kʰo	1	kʰor	1.95	2.7393086340625232	0.0	0.0	1	քոր(kʰor)	2.05	2.7393086340625232	0.0	0.0	3
ձեզ	79	43.34467244595633	4.636935725352965	3	4	քեզ, ձեր, մեզ, ձեթ	1.8	4.173592476394118	0.8451996520949404	0.3333333333333333	dzez	1	dzer	2.2	4.673807085306091	0.0	0.0	1	ձեր(dzer)	2.1	4.673807085306091	0.0	0.0	4
հիմա	74	40.601338746845165	4.608540353793499	4	2	հիմար, հիա	1.9	3.216429888782186	0.0	0.0	hima	2	himar, hia	2.2	3.216429888782186	0.0	0.0	2	հիմար(himar), հիա(hia)	2.2	3.216429888782186	0.0	0.0	4
ուզում	73	40.052672007022935	4.60263149418298	6	0		2.05			0.0	uzum	0		2.0			0.0	0		2.4			0.0	4
լավ	70	38.40667178755624	4.58440667407678	3	9	բավ, դավ, ելավ, նավ, լաց, լավն, լաթ, լավը, ցավ	1.55	2.936880995216262	0.2463349874141363	0.2222222222222222	lav	4	bav, dav, nav, lavə	1.8	3.108588947742439	0.2556125078463828	0.5	4	բավ(bav), դավ(dav), նավ(nav), լավը(lavə)	1.8	3.108588947742439	0.2556125078463828	0.5	3
