word	raw_frequency	freq_per_m	zipf	num_letters	orth_density	orth_density_nbrs	OLD20	orth_nbr_zipf_m	orth_nbr_zipf_SD	orth_C	IPA	phon_density	phon_density_nbrs	PLD20	phon_nbr_zipf_m	phon_nbr_zipf_SD	phon_C	pg_density	pg_density_nbrs	PGLD20	pg_nbr_zipf_m	pg_nbr_zipf_SD	pg_C	num_phonemes
ویسا	1	0.7624566352788685	2.882215148222559	4	7	ایسا, ویسے, جیسا, کیسا, ویتا, ویزا, ویٹا	1.65	4.072625153239961	0.7837099311987639	0.2857142857142857	ʋeːsaː	5.0	eːsaː, ʋeːseː, ɟeːsaː, keːsaː, ʋeːʈaː	1.75	4.297734654226259	0.8206459936625546	0.3	5.0	ایسا(eːsaː), ویسے(ʋeːseː), جیسا(ɟeːsaː), کیسا(keːsaː), ویٹا(ʋeːʈaː)	1.75	4.297734654226259	0.8206459936625546	0.3	6
بنتے	1	0.7624566352788685	2.882215148222559	4	9	بننے, بناتے, سنتے, بندے, بنے, بنتی, بوتے, بستے, بکتے	1.55	3.3512321839953043	0.3916885227539911	0.1666666666666666	bʌnteː	6.0	bʌnneː, bʌndeː, bʌneː, bʌntiː, bʌsteː, bʌkteː	1.7	3.3187307033270166	0.3901209935530234	0.2666666666666666	6.0	بننے(bʌnneː), بندے(bʌndeː), بنے(bʌneː), بنتی(bʌntiː), بستے(bʌsteː), بکتے(bʌkteː)	1.7	3.3187307033270166	0.3901209935530234	0.2666666666666666	6
دہی	1	0.7624566352788685	2.882215148222559	3	7	یہی, وہی, دہ, دلی, بہی, سہی, دری	1.65	3.5781040849025176	0.7795609739084799	0.3333333333333333	dʌhi	4.0	ʋʌhi, bʌhi, sʌhi, dʌri	1.8	3.2880274708220343	0.7028875610798224	0.5	4.0	وہی(ʋʌhi), بہی(bʌhi), سہی(sʌhi), دری(dʌri)	1.8	3.2880274708220343	0.7028875610798224	0.5	4
جاسکتی	1	0.7624566352788685	2.882215148222559	6	3	جاسکتے, جاسکتا, جاسکتیں	2.35	3.342285562126428	0.3331672474811126	0.3333333333333333	ɟaːsakti	0.0		3.4			0.0	0.0		3.45			0.0	8
تھکانے	1	0.7624566352788685	2.882215148222559	6	1	ٹھکانے	2.2	3.4842751395505216	0.0	0.0	tʰəkaːneː	0.0		2.75			0.0	0.0		2.8			0.0	9
خادم	1	0.7624566352788685	2.882215148222559	4	0		2.0			0.0	xaːdɪm	0.0		2.45			0.0	0.0		2.45			0.0	6
ساسیں	1	0.7624566352788685	2.882215148222559	5	0		2.0			0.0	saːsẽː	0.0		2.0			0.0	0.0		2.0			0.0	7
بضأار	1	0.7624566352788685	2.882215148222559	5	1	بئأار	2.35	2.882215148222559	0.0	0.0	bəzaːr	4.0	həzaːr, bəbaːr, bəhaːr, bəaːr	1.8	3.2178208184281107	0.4256151781521791	0.5	1.0	بئأار(bəaːr)	2.4	2.882215148222559	0.0	0.0	6
دراج	1	0.7624566352788685	2.882215148222559	4	5	فراج, درج, دراڑ, راج, دراز	1.75	3.441252066159044	0.3838940150588139	0.2	dəraːɟ	2.0	fəraːɟ, dəraːz	1.9	3.4391868243759776	0.5569716761534185	0.0	2.0	فراج(fəraːɟ), دراز(dəraːz)	1.9	3.4391868243759776	0.5569716761534185	0.0	6
تکمیل	1	0.7624566352788685	2.882215148222559	5	1	تعمیل	1.95	2.882215148222559	0.0	0.0	təkmiːl	0.0		2.5			0.0	0.0		2.5			0.0	7
مظلوم	1	0.7624566352788685	2.882215148222559	5	1	معلوم	2.1	5.0375511856876205	0.0	0.0	məʐluːm	0.0		2.65			0.0	0.0		2.65			0.0	7
لٹکتی	1	0.7624566352788685	2.882215148222559	5	1	لٹکی	2.3	2.882215148222559	0.0	0.0	lʌʈəkti	0.0		3.65			0.0	0.0		3.65			0.0	7
